,date,userid,message
0,"November 23, 1999 6:20AM",enigma23,"All great cars, so let the discussions begin!!!"
1,"November 27, 1999 5:29AM",merc1,"I guess no one wants to talk anymore huh?

M"
2,"November 27, 1999 3:17PM",bmwboys,"I was talking wiht a friend of mine about this line up of autos. We came to the conclusion that the figures just dont add up. It is not completely fair to put these cars up in head to head competition. The Mercedes and BMW both have sitcker prices arround 95+. The Jaguar and Audi ring up at arround 70K, and Lexus starts arround 55K.
All five are great cars but i personaly believe some are just better than others, not because one is a lesser car, but it is just not in its own league. After doing some research The Lexus is more comperable to a 5-series BMW or a E-class Mercedes. When you look at the competition that way, its pretty clear who is on top. The LS400 offers more toys than either of the 2 Germans and puts it in a totaly different class.
Each of these cars has a totaly different personality. Audis are still a sleeper, the A8 is understated, no one realises it is what it is. Bimmers are known for a sporty reputation. Jaguars are the stuffy british kick, great style and pleanty of problems. Lexus seems to be a total isolation vehicle, a place to get away from any and all noise. Mercedes has always been the ultimate in status, not that is is the best thing out there but its all status.
To say any of these cars is better than another is impossible, they all have some quirk that gives them an edge, i would kill to get into a design center and make my ideal car with all the best things from all the above makers. That would be my super car!"
3,"November 27, 1999 6:29PM",bernard1,"Currently we own a vehicle from Lexus, both of the German makes and Volvo. Each offers a different level of comfort, sport and security. For vault like construction, the Germans have it, and at the top, I believe is the MBZ. Sprotiness, BMW. Quietness goes to the Lexus. Longevity, I believe will go to the MBZ with BMW second. As far as the Lexus, I will have to wait and see.

To all who have complained of the many problems with these autos I have been fortunate. I Have owned 3 MBZ (2 S classes and one SL) and have had no problems with the sales people or the service people. I have had minimal mechanical problems and the cost have been very reasonable. I have only had the Lexus for a year and the only mechanical problem I've had was with the cd changer and Lexus gave me a brand new one. No questions asked. The sales person was a nimrod and they are overly proud of their autos but the Sevice people are execellent. The other Marques could learn a thing or two from these guys. Bye the way, Lexus even sent me a $50 check for bring my car in for a factory recall. The bimmer is only a few months old, but not one problem and the phrase fun to drive just does not describe it.

So far the Lexus has not cost me one dime to maintain (service wise) but with the posted labor prices, I expect that to change and it looks as if the Lexus will be the most expensive to maintain.

Any opinions on this?"
4,"November 27, 1999 9:40PM",merc1,"What ""toys"" does the LS400 offer that are not available on the S-Class or 7-Series, or did you mean the E-Class and 5-Series? If its the 5 and E, the LS is a notch above those 2 in most areas.
The S-Class does not have a sticker of 95K, and the only 7-Series approaching that price is the 750iL, unless you get one of the protection models. The competitive models, S430 and 740iL are not 95K cars.


M"
5,"November 27, 1999 10:29PM",enigma23,But the S500 is knocking on $90K+!!
6,"November 28, 1999 8:33AM",bmwboys,"After adding tax and lux tax and destianation charges you are at 95. I was reffering to a 750, primarialy cuz it is the king ok the BMW line up, as is the LS to Lexus.
as for the toys, im not sure what all Lexus puts in their cars but i do own a BMW 7 with so many gadgets that it is almost crazy.
To me the toys of my car are: Heated Steering Wheel, Comfort seats with an adjustable sholder rest, 8 Air Bags, Insulated Windows, power rear seats with heat, radar in the bumpers, power sun shades.
Its all the little toys i love and BMW is known for their toys.
What all does Lexus offer? I know that Jaguar is a pretty boring car on the inside, very plush, but boring."
7,"November 28, 1999 5:53PM",enigma23,How are 8 airbags toys?? I would consider them as Safety features and would never think of them as toys.
8,"November 28, 1999 11:34PM",jbradb,"I've seen edmunds re used LS400s, but any strong feelings? seems '96 ('95?) was a style change and '98 was an engine change. other than those two biggies, what do you Lexophiles think?

I'm not asking opinions about WHETHER to get a Lexus vs. other brand. I've driven enough to know they are like apples and oranges. Thanks!"
9,"November 28, 1999 11:47PM",enigma23,"jbradb,

The 1st generation LS400 went from 1990 thru the 1994 model year. The 2nd generation LS400 came out during the 1995 model year. The 2 1/2 generation LS400 came out for the 1998 model year.

Basically the 1998-2000 LS400 is the same car as the 1995(2nd generation LS400). The basic changes that Lexus made for the 1998 model year were a new engine and transmission, different gauge cluster, more wood trim, different front fenders, bumper, lights, grille, and hood, as well as different wheels. Other changes were a Drive-by-wire Throttle control system, standard VSC, and numerous other features were added. ALso the rear tailights were slightly redesigned.

1995 was a complete overhaul of the car from the 1994(1st generation) LS400.

Is that what you wanted to know? Or was it somethign else?"
